Year,USD,JPY,GBP,CHF,SEK,NOK,DKK,CZK,PLN,HUF,RON,HRK,BGN,TRY,AUD,CAD,HKD,SGD,KRW,ZAR,MXN,INR,CNY,BRL,IDR,ILS,MYR,PHP,THB,ISK,NZD,RUB
2025,1.13,169.04,.85679,.937,11.0663,11.7173,7.4634,24.688,4.2397,397.77,5.0424,1,1.9558,44.8161,1.7518,1.5787,8.8104,1.4756,1605.45,20.1789,21.6705,98.5239,8.1185,6.3072,18623.06,3.8927,4.8339,64.977,37.116,144.66,1.9422
2024,1.0824,163.85,.84662,.9526,11.4325,11.629,7.4589,25.12,4.3058,395.3,4.9746,1,1.9558,35.5734,1.6397,1.4821,8.4454,1.4458,1475.4,19.8297,19.8314,90.5563,7.7875,5.8283,17157.68,4.0067,4.9503,62.007,38.181,149.31,1.788
2023,1.0813,151.99,.86979,.9718,11.4788,11.4248,7.4509,24.004,4.542,381.85,4.9467,1,1.9558,25.7597,1.6288,1.4595,8.465,1.4523,1412.88,19.9551,19.183,89.3001,7.66,5.401,16479.62,3.988,4.932,60.163,37.631,149.13,1.7622
2022,1.053,138.03,.85276,1.0047,10.6296,10.1026,7.4396,24.566,4.6861,391.29,4.9313,7.5349,1.9558,17.4088,1.5167,1.3695,8.2451,1.4512,1358.07,17.2086,21.1869,82.6864,7.0788,5.4399,15625.25,3.5345,4.6279,57.314,36.856,142.24,1.6582
2021,1.1827,129.88,.8596,1.0811,10.1465,10.1633,7.437,25.64,4.5652,358.52,4.9215,7.5284,1.9558,10.5124,1.5749,1.4826,9.1932,1.5891,1354.06,17.4766,23.9852,87.4392,7.6282,6.3779,16920.72,3.8208,4.9015,58.299,37.837,150.15,1.6724,87.1527
2020,1.1422,121.85,.8897,1.0705,10.4848,10.7228,7.4542,26.455,4.443,351.25,4.8383,7.5384,1.9558,8.0547,1.6549,1.53,8.8587,1.5742,1345.58,18.7655,24.5194,84.6392,7.8747,5.8943,16627.37,3.9258,4.7959,56.615,35.708,154.59,1.7561,82.7248
2019,1.1195,122.01,.87777,1.1124,10.5891,9.8511,7.4661,25.67,4.2976,325.3,4.7453,7.418,1.9558,6.3578,1.6109,1.4855,8.7715,1.5273,1305.32,16.1757,21.5565,78.8361,7.7355,4.4134,15835.27,3.9901,4.6374,57.985,34.757,137.28,1.6998,72.4553
2018,1.181,130.4,.88471,1.155,10.2583,9.5975,7.4532,25.647,4.2615,318.89,4.654,7.4182,1.9558,5.7077,1.5797,1.5294,9.2559,1.5926,1299.07,15.6186,22.7054,80.7332,7.8081,4.3085,16803.22,4.2423,4.7634,62.21,38.164,127.89,1.7065,74.0416
2017,1.1297,126.71,.87667,1.1117,9.6351,9.327,7.4386,26.326,4.257,309.19,4.5688,7.4637,1.9558,4.1206,1.4732,1.4647,8.8045,1.5588,1276.74,15.049,21.3286,73.5324,7.629,3.6054,15118.01,4.0622,4.8527,56.973,38.296,,1.5897,65.9383
2016,1.1069,120.2,.81948,1.0902,9.4689,9.2906,7.4452,27.034,4.3632,311.44,4.4904,7.5333,1.9558,3.3433,1.4883,1.4659,8.5922,1.5275,1284.18,16.2645,20.6673,74.3717,7.3522,3.8561,14720.83,4.2489,4.5835,52.556,39.043,,1.5886,74.1446
2015,1.1095,134.31,.72584,1.0679,9.3535,8.9496,7.4587,27.279,4.1841,310.0,4.4454,7.6137,1.9558,3.0255,1.4777,1.4186,8.6014,1.5255,1256.54,14.1723,17.6157,71.1956,6.9733,3.7004,14870.39,4.3122,4.3373,50.522,38.028,,1.593,68.072
2014,1.3285,140.31,.80612,1.2146,9.0985,8.3544,7.4548,27.536,4.1843,308.71,4.4437,7.6344,1.9558,2.9065,1.4719,1.4661,10.3025,1.6823,1398.14,14.4037,17.655,81.0406,8.1857,3.1211,15748.92,4.7449,4.3446,58.979,43.147,,1.5995,50.9518
2013,1.3281,129.66,.84926,1.2311,8.6515,7.8067,7.4579,25.98,4.1975,296.87,4.419,7.5786,1.9558,2.5335,1.3777,1.3684,10.3016,1.6619,1453.91,12.833,16.9641,77.93,8.1646,2.8687,13857.5,4.7948,4.1855,56.428,40.83,,1.6206,42.337
2012,1.2848,102.49,.81087,1.2053,8.7041,7.4751,7.4437,25.149,4.1847,289.25,4.4593,7.5217,1.9558,2.3135,1.2407,1.2842,9.9663,1.6055,1447.69,10.5511,16.9029,68.5973,8.1052,2.5084,12045.73,4.9536,3.9672,54.246,39.928,,1.5867,39.9262
2011,1.392,110.96,.86788,1.2326,9.0298,7.7934,7.4342,24.59,4.1206,279.37,,7.4346,1.9558,,1.3474,1.3761,10.82,1.7489,1540.3,10.086,17.289,,,,,,,,,,1.7531
2010,1.3257,116.24,.85784,1.3803,9.5373,8.0043,7.4473,25.284,3.9947,275.48,,7.2893,1.9558,,1.4416,1.3651,10.296,1.8055,1531.6,9.6896,16.746,,,,,,,,,,1.7319
2009,1.3948,130.34,.79055,1.51,10.619,8.7278,7.4462,26.435,4.3276,280.33,,7.34,1.9558,,1.7727,1.5849,10.835,2.0233,1771.1,13.969,13.529,,,,,,,,,,2.2107
2008,1.4726,152.45,.79628,1.5874,9.6152,8.2237,7.456,24.946,3.5121,251.51,,7.2231,1.9558,,1.7416,1.5578,11.442,2.0697,1600.7,12.062,17.395,,,,,,,,,,2.0856
2007,1.3705,161.25,.68434,1.6427,9.2501,8.0165,7.456,27.766,3.7837,251.35,,7.3376,1.9558,,1.6348,1.4678,10.692,2.0634,1272.6,10.001,,,,,,,,,,,1.8701
2006,1.2556,146.02,.68173,1.5729,9.2544,8.0472,7.4591,28.342,3.8959,264.26,,7.3234,1.9558,,1.6668,1.4237,9.7586,2.0202,1214.4,9.2601,,,,,,,,,,,1.5396
2005,1.2441,136.85,.6838,1.5483,9.2822,8.0092,7.4518,29.782,4.023,248.05,,,1.9558,,1.632,1.5087,9.6726,2.074,,7.9465,,,,,,,,,,,1.7237
2004,1.2439,134.44,.67866,1.5438,9.1243,8.3697,7.4399,31.891,4.534,251.66,,,1.9558,,1.6905,1.6167,9.6702,2.0311,,8.009,,,,,,,,,,,1.8895
2003,1.1312,130.97,.69199,1.5212,9.1242,8.0033,7.4288,31.844,4.0202,253.62,,,1.9558,,1.7379,1.5817,8.7967,1.9462,,10.017,,,,,,,,,,,2.0344
2002,.9454,118.06,.62883,1.467,9.1611,7.5086,7.4305,30.804,3.8574,242.96,,,1.9558,,1.7376,1.4838,7.3617,1.6813,,9.9672,,,,,,,,,,,2.0993
2001,.8956,108.68,.62187,1.51,9.2551,8.0484,7.4521,34.068,3.6721,256.59,,,1.9558,,1.7319,1.3864,6.98,1.5957,,7.6827,,,,,,,,,,,2.1325
2000,.9236,99.47,.60948,1.5579,8.4452,8.1129,7.4538,35.599,4.0082,260.04,,,1.9558,,1.5889,1.3706,7.1937,1.5949,,6.8946,,,,,,,,,,,1.9235
1999,1.0658,121.32,.65875,1.6003,8.8075,8.3104,7.4355,36.884,4.2274,252.77,,,1.9558,,1.6523,1.584,8.2776,1.7744,,6.9419,,,,,,,,,,,2.0064
