trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,CO2_total,CH4_total,N2O_total,impact_intensity
32,2021,RU,RU,SECO8,MEAT4,305802.72,557582.202,4.0,4.0,557582.202,526999.514,8038.919,7682.258,1.82334
7,2021,RU,RU,MEAT4,WEARI,154512.77,263772.354,4.0,4.0,263772.354,244395.456,13506.118,454.472,1.707123
74,2021,RU,RU,ALUM1,BIODI,148986.23,226545.489,4.0,4.0,226545.489,215611.069,8531.652,929.223,1.52058
72,2021,RU,RU,ALUM1,FOODW,139398.42,216935.86,4.0,4.0,216935.86,203617.36,9051.145,2001.563,1.556229
21,2021,RU,RU,MEAT4,HEALT,116322.52,170755.993,4.0,4.0,170755.993,157215.094,9430.6,2955.94,1.467953
66,2021,RU,RU,ALUM1,TEXT2,88486.04,122194.941,4.0,4.0,122194.941,111051.721,5134.334,3404.879,1.380952
4,2021,RU,RU,MEAT4,TEXT2,134265.52,96361.226,4.0,4.0,96361.226,82047.977,8375.138,5381.415,0.717692
55,2021,RU,RU,SECO8,PULP5,39241.84,81531.892,4.0,4.0,81531.892,78439.968,2715.774,131.946,2.077678
56,2021,RU,RU,SECO8,URANI,30583.02,57779.634,4.0,4.0,57779.634,53655.815,1425.833,1203.041,1.889272
68,2021,RU,RU,ALUM1,ELE10,36637.67,51163.745,4.0,4.0,51163.745,48735.5,391.314,1648.823,1.396479
92,2021,RU,RU,ALUM1,SUGAR,33577.53,41710.511,4.0,4.0,41710.511,37359.025,2302.712,567.204,1.242215
35,2021,RU,RU,SECO8,TEXT2,23303.58,33707.864,4.0,4.0,33707.864,31408.557,774.425,394.63,1.446467
48,2021,RU,RU,SECO8,PLAS1,41890.13,31046.316,4.0,4.0,31046.316,28697.541,531.905,1488.329,0.741137
60,2021,RU,RU,SECO8,ELEC4,34161.78,26436.706,4.0,4.0,26436.706,24484.194,359.323,647.592,0.773868
41,2021,RU,RU,SECO8,FOODW,18885.82,26073.636,4.0,4.0,26073.636,22892.887,1558.275,822.389,1.380593
83,2021,RU,RU,ALUM1,HEALT,119938.59,24899.788,4.0,4.0,24899.788,17380.698,2232.574,3892.799,0.207604
65,2021,RU,RU,ALUM1,ALUM1,22727.13,20133.573,4.0,4.0,20133.573,18690.148,925.274,466.868,0.885883
1,2021,RU,RU,MEAT4,MEAT4,10319.45,19619.185,4.0,4.0,19619.185,19086.967,133.403,322.131,1.901185
28,2021,RU,RU,MEAT4,SECO1,7625.44,14842.559,4.0,4.0,14842.559,13812.215,675.676,165.2,1.946453
49,2021,RU,RU,SECO8,FOOD3,7037.76,14286.187,4.0,4.0,14286.187,13673.192,496.929,39.419,2.029934
87,2021,RU,RU,ALUM1,URANI,29392.81,14231.791,4.0,4.0,14231.791,10109.632,2916.15,179.336,0.484193
51,2021,RU,RU,SECO8,LUBRI,6702.33,13737.198,4.0,4.0,13737.198,12699.354,572.583,231.091,2.049615
8,2021,RU,RU,MEAT4,COKE1,20304.28,13263.173,4.0,4.0,13263.173,11368.073,394.791,1001.944,0.653221
54,2021,RU,RU,SECO8,TRAN2,13755.45,13234.401,4.0,4.0,13234.401,11669.331,953.248,452.698,0.962121
71,2021,RU,RU,ALUM1,ELEC7,7357.6,12550.469,4.0,4.0,12550.469,11961.612,277.058,201.737,1.705783
59,2021,RU,RU,SECO8,SECO1,6823.71,11941.974,4.0,4.0,11941.974,11285.632,335.744,47.017,1.750071
82,2021,RU,RU,ALUM1,LUBRI,7279.24,11633.698,4.0,4.0,11633.698,10919.298,182.864,315.024,1.598202
97,2021,RU,RU,TEXT2,TEXT2,6249.77,9266.176,4.0,4.0,9266.176,8520.513,257.999,249.847,1.482643
10,2021,RU,RU,MEAT4,FOODW,11572.65,9095.484,4.0,4.0,9095.484,8335.508,125.903,305.146,0.785947
3,2021,RU,RU,MEAT4,ALUM1,15051.33,8871.334,4.0,4.0,8871.334,7239.644,733.414,377.61,0.589405
18,2021,RU,RU,MEAT4,FOOD3,6539.52,8031.175,4.0,4.0,8031.175,7194.551,444.177,240.967,1.228099
26,2021,RU,RU,MEAT4,CONST,3933.58,8027.822,4.0,4.0,8027.822,7774.855,170.692,11.664,2.040844
76,2021,RU,RU,ALUM1,PAPE2,23266.18,7317.731,4.0,4.0,7317.731,4245.701,1384.812,745.086,0.314522
40,2021,RU,RU,SECO8,ELEC7,4876.35,7141.7,4.0,4.0,7141.7,6637.827,371.949,118.285,1.464559
77,2021,RU,RU,ALUM1,ELE12,3705.66,6716.69,4.0,4.0,6716.69,6138.273,237.7,164.258,1.812549
98,2021,RU,RU,TEXT2,MEDIC,5725.23,5408.729,4.0,4.0,5408.729,4916.256,178.156,48.483,0.944718
67,2021,RU,RU,ALUM1,MEDIC,2489.84,5061.486,4.0,4.0,5061.486,4769.276,185.819,4.714,2.032856
88,2021,RU,RU,ALUM1,CONST,6780.99,4911.771,4.0,4.0,4911.771,4210.352,420.793,33.17,0.724344
99,2021,RU,RU,TEXT2,ELE10,3019.31,3959.04,4.0,4.0,3959.04,3399.497,282.094,127.595,1.31124
79,2021,RU,RU,ALUM1,PLAS1,3749.59,3439.359,4.0,4.0,3439.359,2892.811,341.22,47.27,0.917263
90,2021,RU,RU,ALUM1,SECO1,10755.46,3359.953,4.0,4.0,3359.953,2494.248,451.188,284.309,0.312395
33,2021,RU,RU,SECO8,SECO8,2882.05,3094.71,4.0,4.0,3094.71,2726.65,254.68,75.585,1.073788
42,2021,RU,RU,SECO8,MOTO1,4575.27,2962.398,4.0,4.0,2962.398,2802.464,91.838,17.373,0.64748
69,2021,RU,RU,ALUM1,WEARI,7362.02,2706.714,4.0,4.0,2706.714,1579.212,687.856,344.45,0.367659
13,2021,RU,RU,MEAT4,PETRO,5458.37,2688.7,4.0,4.0,2688.7,2282.783,152.908,33.426,0.492583
91,2021,RU,RU,ALUM1,ELEC4,3799.76,2499.705,4.0,4.0,2499.705,2067.271,311.702,104.344,0.657859
58,2021,RU,RU,SECO8,SALEM,1376.05,2422.353,4.0,4.0,2422.353,2249.714,96.438,52.774,1.760367
37,2021,RU,RU,SECO8,ELE10,5024.89,2402.853,4.0,4.0,2402.853,2123.217,83.487,133.003,0.47819
81,2021,RU,RU,ALUM1,NONSP,1721.27,2342.265,4.0,4.0,2342.265,2212.405,32.012,39.824,1.360777
30,2021,RU,RU,MEAT4,SUGAR,1437.65,2298.41,4.0,4.0,2298.41,2146.289,96.093,10.706,1.598727
23,2021,RU,RU,MEAT4,TRAN2,3529.18,2226.052,4.0,4.0,2226.052,1690.938,241.852,121.161,0.630756
6,2021,RU,RU,MEAT4,ELE10,1660.14,2205.923,4.0,4.0,2205.923,2058.638,88.31,25.386,1.328757
52,2021,RU,RU,SECO8,HEALT,1138.3,2129.585,4.0,4.0,2129.585,1993.072,74.68,32.965,1.870847
78,2021,RU,RU,ALUM1,MEMBE,1411.6,1867.92,4.0,4.0,1867.92,1779.835,41.055,29.842,1.323264
94,2021,RU,RU,TEXT2,MEAT4,1314.02,1434.815,4.0,4.0,1434.815,1292.852,99.548,5.186,1.091928
73,2021,RU,RU,ALUM1,MOTO1,2725.58,1419.461,4.0,4.0,1419.461,1210.658,57.155,93.691,0.520792
29,2021,RU,RU,MEAT4,ELEC4,664.08,1276.819,4.0,4.0,1276.819,1217.584,42.044,7.519,1.922689
9,2021,RU,RU,MEAT4,ELEC7,921.79,1265.432,4.0,4.0,1265.432,1174.818,50.606,32.651,1.372799
25,2021,RU,RU,MEAT4,URANI,764.36,1262.709,4.0,4.0,1262.709,1155.057,57.667,16.701,1.651982
44,2021,RU,RU,SECO8,PETRO,1404.22,1184.821,4.0,4.0,1184.821,983.932,132.065,36.305,0.843757
12,2021,RU,RU,MEAT4,BIODI,930.46,1168.197,4.0,4.0,1168.197,1096.387,20.418,32.365,1.255505
22,2021,RU,RU,MEAT4,PRIVA,1695.21,1164.313,4.0,4.0,1164.313,905.351,126.68,84.456,0.686825
62,2021,RU,RU,SECO8,TEXT1,1874.04,1110.615,4.0,4.0,1110.615,996.638,81.694,8.595,0.592631
93,2021,RU,RU,ALUM1,TEXT1,515.36,1087.34,4.0,4.0,1087.34,1024.981,36.206,17.229,2.109865
47,2021,RU,RU,SECO8,MEMBE,942.37,1076.347,4.0,4.0,1076.347,969.518,53.153,31.736,1.14217
2,2021,RU,RU,MEAT4,SECO8,2109.78,893.253,4.0,4.0,893.253,681.217,112.529,15.051,0.423387
86,2021,RU,RU,ALUM1,PULP5,850.32,876.843,4.0,4.0,876.843,776.835,39.445,30.75,1.031192
61,2021,RU,RU,SECO8,SUGAR,899.7,858.54,4.0,4.0,858.54,754.183,65.311,20.68,0.954251
53,2021,RU,RU,SECO8,PRIVA,548.78,845.409,4.0,4.0,845.409,773.835,51.468,18.74,1.540524
85,2021,RU,RU,ALUM1,TRAN2,394.95,817.277,4.0,4.0,817.277,780.734,21.607,3.035,2.069318
46,2021,RU,RU,SECO8,ELE12,492.94,717.11,4.0,4.0,717.11,647.885,47.156,21.457,1.454761
57,2021,RU,RU,SECO8,CONST,365.75,693.179,4.0,4.0,693.179,647.077,27.965,7.609,1.895226
43,2021,RU,RU,SECO8,BIODI,2232.5,676.577,4.0,4.0,676.577,390.135,210.512,15.59,0.303058
100,2021,RU,RU,TEXT2,WEARI,1658.27,663.299,4.0,4.0,663.299,446.633,109.649,63.028,0.399995
95,2021,RU,RU,TEXT2,SECO8,1118.48,662.839,4.0,4.0,662.839,484.386,107.582,38.935,0.592625
16,2021,RU,RU,MEAT4,MEMBE,730.9,660.754,4.0,4.0,660.754,544.488,60.047,29.913,0.904028
70,2021,RU,RU,ALUM1,COKE1,594.19,638.217,4.0,4.0,638.217,607.949,11.366,8.07,1.074096
84,2021,RU,RU,ALUM1,PRIVA,815.93,531.011,4.0,4.0,531.011,441.173,48.305,16.445,0.650805
89,2021,RU,RU,ALUM1,SALEM,792.82,457.511,4.0,4.0,457.511,368.303,71.732,13.355,0.577068
31,2021,RU,RU,MEAT4,TEXT1,662.31,385.415,4.0,4.0,385.415,292.342,60.809,8.371,0.581925
5,2021,RU,RU,MEAT4,MEDIC,1660.07,321.732,4.0,4.0,321.732,202.66,84.613,7.553,0.193806
17,2021,RU,RU,MEAT4,PLAS1,236.97,302.595,4.0,4.0,302.595,270.247,21.454,9.727,1.276934
36,2021,RU,RU,SECO8,MEDIC,140.88,285.504,4.0,4.0,285.504,273.682,3.068,3.273,2.026576
63,2021,RU,RU,ALUM1,MEAT4,187.57,262.87,4.0,4.0,262.87,239.533,13.156,4.448,1.40145
11,2021,RU,RU,MEAT4,MOTO1,935.85,201.019,4.0,4.0,201.019,152.624,38.891,4.539,0.214798
19,2021,RU,RU,MEAT4,NONSP,307.95,184.384,4.0,4.0,184.384,175.376,4.752,2.715,0.598747
64,2021,RU,RU,ALUM1,SECO8,149.83,182.5,4.0,4.0,182.5,162.754,13.14,3.668,1.218047
27,2021,RU,RU,MEAT4,SALEM,167.76,180.421,4.0,4.0,180.421,156.582,10.415,6.13,1.075471
20,2021,RU,RU,MEAT4,LUBRI,87.29,178.517,4.0,4.0,178.517,170.577,2.595,1.528,2.045103
45,2021,RU,RU,SECO8,PAPE2,73.97,151.585,4.0,4.0,151.585,146.061,1.727,3.572,2.049277
34,2021,RU,RU,SECO8,ALUM1,211.82,108.627,4.0,4.0,108.627,86.993,13.422,4.271,0.512827
50,2021,RU,RU,SECO8,NONSP,36.32,66.939,4.0,4.0,66.939,63.541,1.814,0.352,1.843034
15,2021,RU,RU,MEAT4,ELE12,39.95,62.049,4.0,4.0,62.049,57.816,2.346,1.745,1.553166
39,2021,RU,RU,SECO8,COKE1,107.72,57.247,4.0,4.0,57.247,44.96,7.929,0.992,0.531443
24,2021,RU,RU,MEAT4,PULP5,84.62,53.358,4.0,4.0,53.358,49.892,1.08,2.003,0.63056
80,2021,RU,RU,ALUM1,FOOD3,20.72,36.44,4.0,4.0,36.44,34.457,0.72,0.451,1.758687
96,2021,RU,RU,TEXT2,ALUM1,76.8,28.863,4.0,4.0,28.863,21.787,4.472,1.772,0.37582
38,2021,RU,RU,SECO8,WEARI,22.22,22.975,4.0,4.0,22.975,20.413,1.88,0.293,1.033978
75,2021,RU,RU,ALUM1,PETRO,4.27,8.609,4.0,4.0,8.609,8.239,0.141,0.105,2.016159
14,2021,RU,RU,MEAT4,PAPE2,24.95,7.801,4.0,4.0,7.801,3.992,1.836,1.17,0.312665
848,2021,RU,RU,SECO1,MOTO1,1380905.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2021,RU,RU,TEXT2,HEALT,1408597.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
881,2021,RU,RU,ELEC4,PETRO,1651725.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763,2021,RU,RU,URANI,NONSP,1794453.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,2021,RU,RU,PRIVA,TEXT2,1855007.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,2021,RU,RU,URANI,BIODI,2149950.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2021,RU,RU,ELE10,URANI,2677577.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,2021,RU,RU,TEXT1,PLAS1,65.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,2021,RU,RU,COKE1,LUBRI,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,2021,RU,RU,FOODW,ELE10,616974.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,2021,RU,RU,ELEC7,MEDIC,600423.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,2021,RU,RU,ELEC7,ELE12,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,2021,RU,RU,PULP5,HEALT,42.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,2021,RU,RU,PETRO,ALUM1,648849.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823,2021,RU,RU,SALEM,PLAS1,934012.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2021,RU,RU,COKE1,FOOD3,634035.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,2021,RU,RU,MEMBE,PAPE2,6564599.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,2021,RU,RU,FOODW,WEARI,22.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2021,RU,RU,TEXT2,FOOD3,24.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,2021,RU,RU,NONSP,MOTO1,27.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2021,RU,RU,COKE1,MEDIC,27.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,2021,RU,RU,PULP5,SECO1,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,2021,RU,RU,PLAS1,SUGAR,32.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,2021,RU,RU,LUBRI,LUBRI,34.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,2021,RU,RU,PAPE2,SALEM,36.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,2021,RU,RU,PETRO,URANI,41.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,2021,RU,RU,PULP5,ELEC7,41.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,2021,RU,RU,ELE12,MEDIC,42.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,2021,RU,RU,PETRO,WEARI,711056.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,2021,RU,RU,PRIVA,NONSP,45650.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,2021,RU,RU,HEALT,FOODW,45957.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,2021,RU,RU,MOTO1,SECO8,46487.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,2021,RU,RU,PULP5,ALUM1,47016.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,2021,RU,RU,ELEC4,PRIVA,47655.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,2021,RU,RU,TEXT1,CONST,48690.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,2021,RU,RU,MEMBE,ELE12,48968.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,2021,RU,RU,PRIVA,MEAT4,49832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,2021,RU,RU,WEARI,CONST,50966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2021,RU,RU,TEXT2,CONST,51899.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,2021,RU,RU,NONSP,PRIVA,52020.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,2021,RU,RU,URANI,HEALT,52742.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,2021,RU,RU,MOTO1,PLAS1,53921.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2021,RU,RU,ELE10,COKE1,53986.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,2021,RU,RU,TRAN2,FOODW,54085.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,2021,RU,RU,ELEC7,URANI,54606.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
815,2021,RU,RU,SALEM,ELEC7,39324.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,2021,RU,RU,ELEC7,ELE10,39385.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,2021,RU,RU,LUBRI,ELE10,39888.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,2021,RU,RU,ELEC4,MEMBE,40554.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,2021,RU,RU,TRAN2,LUBRI,41049.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,2021,RU,RU,CONST,HEALT,41476.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,2021,RU,RU,URANI,FOODW,41527.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,2021,RU,RU,WEARI,FOOD3,41543.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,2021,RU,RU,PAPE2,CONST,42026.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,2021,RU,RU,SALEM,PAPE2,42774.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
893,2021,RU,RU,ELEC4,URANI,42902.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,2021,RU,RU,SUGAR,PRIVA,43655.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,2021,RU,RU,CONST,MOTO1,44442.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,2021,RU,RU,WEARI,PLAS1,44695.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2021,RU,RU,COKE1,ELEC7,45359.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
